Datum,Gemeldete Fälle,Stationäre Behandlung,Intensivmedizin,gestorben
15.09.2020,12463,49,14,227
16.09.2020,12593,48,16,227
17.09.2020,12733,48,14,227
18.09.2020,12919,47,14,227
19.09.2020,13065,53,16,227
20.09.2020,13109,53,15,227
21.09.2020,,49,16,227
22.09.2020,,61,20,228
23.09.2020,,61,18,228
24.09.2020,,63,18,228
25.09.2020,,70,21,228
26.09.2020,,77,24,228
27.09.2020,,77,20,228
28.09.2020,,80,24,228
29.09.2020,,91,27,228
30.09.2020,,100,31,228
01.10.2020,,103,33,229
02.10.2020,,115,35,231
03.10.2020,,111,39,231
04.10.2020,,110,41,231
05.10.2020,,111,39,231
06.10.2020,,126,40,231
07.10.2020,,142,42,232
08.10.2020,,153,43,
09.10.2020,,152,39,
10.10.2020,,159,40,
11.10.2020,,160,39,
12.10.2020,,182,44,
13.10.2020,,201,49,
14.10.2020,,224,59,
15.10.2020,,239,59,
